CustomerID,Years as Client,Total Products Purchased via the Bank,Client Salary,rfm_score,rfm_recency,Revenue Ranking,Salary Ranking,Balance Ranking,Overall_ranking,CreditScore,Geography,Gender,Age,Balance,Satisfaction_Score,Card_Type,Point_Earned,HasCrCard,IsActiveMember,Exited,Complain
15808582,6,1,161848,10,4,High Spending with Credit Card,Very High Income,Minimal Balance,Loyal Customer,665,France,Female,40,0,2,SILVER,651,Yes,Yes,No,No
15743192,6,2,167162,7,2,Normal,Very High Income,Minimal Balance,Potential Customer,623,France,Female,44,0,2,DIAMOND,520,No,No,No,No
15580146,9,1,41971,7,2,Normal,Middle Income,Standard Balance,Potential Customer,738,France,Male,31,82674,4,DIAMOND,234,Yes,No,No,No
15776605,7,2,60537,7,2,Normal,Middle Income,Minimal Balance,Potential Customer,528,Spain,Male,36,0,5,SILVER,458,Yes,No,No,No
15804919,1,1,177656,7,2,High Spending with Credit Card,Very High Income,Minimal Balance,Potential Customer,670,Spain,Female,65,0,2,GOLD,915,Yes,Yes,Yes,Yes
15613854,4,2,30985,5,2,Normal,Middle Income,High Saving Balance,Normal Customer,622,Spain,Female,46,107073,3,GOLD,299,Yes,Yes,Yes,Yes
15599195,1,1,10055,9,4,High Spending with Credit Card,Low Income,Standard Balance,Potential Customer,582,Germany,Male,32,88939,4,GOLD,838,Yes,Yes,No,No
15812878,2,1,36977,8,4,High Spending with no Credit Card,Middle Income,Standard Balance,Potential Customer,785,Germany,Female,36,99807,5,PLATINUM,786,No,Yes,No,No
15602312,5,1,71863,7,2,Normal,Middle Income,High Saving Balance,Potential Customer,605,Spain,Male,33,150093,3,DIAMOND,509,No,No,No,No
15744689,9,1,99450,6,1,Normal,High Income,Standard Balance,Normal Customer,479,Germany,Male,35,92834,3,DIAMOND,328,Yes,No,Yes,Yes
15803526,3,1,63083,7,4,Low Spending and no Credit Card,Middle Income,Standard Balance,Potential Customer,685,Germany,Male,30,90537,4,SILVER,347,No,Yes,No,No
15665790,7,2,27231,7,2,Normal,Low Income,High Saving Balance,Potential Customer,538,Germany,Male,39,108055,5,SILVER,534,Yes,No,No,No
15715951,2,1,86797,6,2,High Spending with no Credit Card,High Income,High Saving Balance,Normal Customer,562,France,Male,42,100238,5,PLATINUM,709,No,No,No,No
15591100,9,1,22994,11,4,High Spending with no Credit Card,Low Income,High Saving Balance,Loyal Customer,675,Spain,Male,36,106191,4,SILVER,749,No,Yes,No,No
15609618,9,2,101301,8,2,Normal,High Income,High Saving Balance,Potential Customer,721,Germany,Male,28,154476,5,PLATINUM,541,No,Yes,Yes,Yes
15675522,9,2,74169,11,4,High Spending with Credit Card,Middle Income,High Saving Balance,Loyal Customer,628,Germany,Female,30,132351,2,GOLD,736,Yes,Yes,No,No
15705512,6,1,115638,7,2,Normal,High Income,High Saving Balance,Potential Customer,668,Germany,Female,37,167864,4,SILVER,529,Yes,No,No,No
15698028,1,2,31766,5,2,Normal,Middle Income,Minimal Balance,Normal Customer,506,France,Female,41,0,4,GOLD,594,Yes,No,No,No
15661670,8,1,199725,7,1,Normal,Very High Income,High Saving Balance,Potential Customer,524,Germany,Female,31,107819,1,SILVER,462,Yes,No,Yes,Yes
15600781,4,2,120834,6,2,Normal,High Income,High Saving Balance,Normal Customer,699,Germany,Male,34,185174,3,PLATINUM,429,Yes,No,No,No
15682472,8,2,38132,7,2,Low Spending and no Credit Card,Middle Income,High Saving Balance,Potential Customer,828,France,Male,34,129433,4,SILVER,370,No,No,No,No
15580203,6,1,100131,7,2,Normal,High Income,High Saving Balance,Potential Customer,674,Spain,Male,39,120193,1,PLATINUM,510,No,No,No,No
15690673,6,2,141070,8,2,High Spending with Credit Card,High Income,Minimal Balance,Potential Customer,656,France,Female,39,0,4,DIAMOND,638,Yes,No,No,No
15760085,10,1,198129,10,4,Normal,Very High Income,High Saving Balance,Loyal Customer,684,Germany,Female,48,126384,1,GOLD,462,Yes,Yes,No,No
15779659,3,1,183646,7,2,High Spending with no Credit Card,Very High Income,Minimal Balance,Potential Customer,625,France,Female,28,0,4,GOLD,718,No,No,No,No
15627360,9,1,110265,7,1,Normal,High Income,High Saving Balance,Potential Customer,432,France,Male,42,152603,3,DIAMOND,437,Yes,No,Yes,Yes
15671137,1,1,8636,5,2,Normal,Low Income,Minimal Balance,Normal Customer,549,France,Female,52,0,4,DIAMOND,485,No,Yes,Yes,Yes
15782688,0,1,46824,3,1,Normal,Middle Income,High Saving Balance,Very Low-value and Inactive,625,Germany,Male,56,148507,3,PLATINUM,410,Yes,No,Yes,Yes
15575492,7,2,171379,8,2,High Spending with Credit Card,Very High Income,Minimal Balance,Potential Customer,828,France,Female,41,0,2,PLATINUM,666,Yes,No,No,No
15591607,9,1,167256,9,2,High Spending with Credit Card,Very High Income,High Saving Balance,Potential Customer,770,France,Male,24,101827,4,GOLD,730,Yes,No,No,No
15740404,3,2,124226,7,4,Normal,High Income,Minimal Balance,Potential Customer,758,France,Female,34,0,2,PLATINUM,375,Yes,Yes,No,No
15718369,9,1,114935,10,4,Normal,High Income,High Saving Balance,Loyal Customer,795,Germany,Female,33,130862,5,GOLD,411,Yes,Yes,No,No
15677871,9,1,35609,10,4,Normal,Middle Income,High Saving Balance,Loyal Customer,687,France,Male,38,122571,4,DIAMOND,595,Yes,Yes,No,No
15642004,1,2,16459,7,4,Normal,Low Income,Minimal Balance,Potential Customer,686,France,Male,25,0,1,DIAMOND,578,No,Yes,No,No
15712543,7,2,124411,8,4,Normal,High Income,High Saving Balance,Potential Customer,789,Germany,Male,39,124828,2,PLATINUM,377,Yes,Yes,No,No
15584518,5,2,34941,11,4,High Spending with Credit Card,Middle Income,High Saving Balance,Loyal Customer,589,Germany,Female,50,144895,2,GOLD,831,Yes,Yes,No,No
15802381,5,1,167784,9,4,Normal,Very High Income,Standard Balance,Potential Customer,461,Germany,Female,34,63664,1,SILVER,497,No,Yes,No,No
15610156,2,1,93165,6,4,Low Spending and no Credit Card,High Income,High Saving Balance,Normal Customer,637,France,Male,40,133463,1,PLATINUM,374,No,Yes,No,No
15594408,2,1,75161,6,1,High Spending with Credit Card,Middle Income,High Networth and Substantial Savings Balance,Normal Customer,584,Spain,Female,48,213146,4,DIAMOND,814,Yes,No,Yes,No
15640905,1,2,8591,4,2,Low Spending and no Credit Card,Low Income,High Saving Balance,Normal Customer,579,Spain,Female,35,129490,4,GOLD,247,No,Yes,Yes,Yes
15698932,10,1,189544,10,2,High Spending with Credit Card,Very High Income,High Saving Balance,Loyal Customer,756,Germany,Male,44,137452,5,PLATINUM,965,Yes,No,No,No
15724944,7,2,180427,11,4,High Spending with Credit Card,Very High Income,Minimal Balance,Loyal Customer,663,France,Male,34,0,3,SILVER,912,Yes,Yes,No,No
15628145,5,1,193318,9,4,Normal,Very High Income,High Saving Balance,Potential Customer,682,France,Female,43,125852,4,GOLD,462,Yes,Yes,No,No
15713483,2,1,159124,6,1,High Spending with Credit Card,Very High Income,Minimal Balance,Normal Customer,793,Spain,Male,52,0,5,GOLD,883,Yes,No,Yes,Yes
15612350,5,1,126214,5,1,Normal,High Income,Standard Balance,Normal Customer,691,France,Female,31,40916,2,SILVER,402,Yes,No,Yes,No
15800703,5,1,54142,10,4,High Spending with Credit Card,Middle Income,High Saving Balance,Loyal Customer,485,Spain,Female,21,113157,4,GOLD,764,Yes,Yes,No,No
15705707,8,2,141076,9,2,High Spending with Credit Card,High Income,High Saving Balance,Potential Customer,635,Spain,Female,29,138297,1,PLATINUM,608,Yes,No,No,No
15754105,5,1,24495,8,2,High Spending with no Credit Card,Low Income,High Saving Balance,Potential Customer,650,France,Male,37,106967,5,PLATINUM,652,No,No,No,No
15703264,9,1,74836,8,2,Normal,Middle Income,High Saving Balance,Potential Customer,735,France,Male,44,120682,2,SILVER,520,Yes,No,No,No
15794413,0,2,879,9,4,High Spending with no Credit Card,Low Income,Minimal Balance,Potential Customer,416,France,Male,32,0,5,GOLD,884,No,Yes,No,No
15650237,7,2,89521,8,2,High Spending with Credit Card,High Income,Minimal Balance,Potential Customer,754,Spain,Female,32,0,1,SILVER,800,Yes,No,No,No
15759618,9,1,149893,8,1,High Spending with Credit Card,High Income,Minimal Balance,Potential Customer,535,France,Female,48,0,4,GOLD,697,Yes,No,Yes,Yes
15811589,8,2,180800,8,2,Normal,Very High Income,Minimal Balance,Potential Customer,716,Spain,Male,42,0,2,SILVER,427,Yes,No,No,No
15689044,2,1,98646,6,2,High Spending with Credit Card,High Income,High Saving Balance,Normal Customer,539,France,Male,37,127610,1,DIAMOND,620,Yes,No,No,No
15709368,6,2,109042,8,4,Normal,High Income,Minimal Balance,Potential Customer,614,France,Female,43,0,1,PLATINUM,318,Yes,Yes,No,No
15679145,7,1,17941,7,1,High Spending with Credit Card,Low Income,Minimal Balance,Potential Customer,706,Spain,Male,57,0,1,GOLD,701,Yes,No,Yes,Yes
15655007,7,2,82996,9,2,High Spending with no Credit Card,High Income,Minimal Balance,Potential Customer,758,France,Female,33,0,4,PLATINUM,953,No,No,No,No
15623595,2,2,92067,8,4,High Spending with Credit Card,High Income,Minimal Balance,Potential Customer,586,Spain,Female,28,0,5,PLATINUM,635,Yes,Yes,No,No
15589975,6,1,104720,8,4,Low Spending and no Credit Card,High Income,Standard Balance,Potential Customer,646,France,Female,73,97259,1,PLATINUM,250,No,Yes,No,No
15804017,4,1,112688,7,2,High Spending with no Credit Card,High Income,High Saving Balance,Potential Customer,631,Germany,Female,33,123247,3,SILVER,662,No,No,No,No
15692132,6,1,84700,10,4,High Spending with no Credit Card,High Income,High Saving Balance,Loyal Customer,717,Spain,Female,22,101060,2,GOLD,666,No,Yes,No,No
15641122,2,2,83474,6,2,High Spending with Credit Card,High Income,Minimal Balance,Normal Customer,684,France,Male,30,0,4,DIAMOND,699,Yes,No,No,No
15630910,7,1,47125,9,2,High Spending with no Credit Card,Middle Income,High Saving Balance,Potential Customer,800,France,Female,49,108007,3,PLATINUM,855,No,No,No,No
15680772,2,2,106978,7,4,Normal,High Income,Minimal Balance,Potential Customer,721,Spain,Female,36,0,5,SILVER,534,Yes,Yes,No,No
15658929,0,1,55583,3,1,Normal,Middle Income,High Saving Balance,Very Low-value and Inactive,683,Spain,Male,29,133703,1,PLATINUM,388,Yes,No,Yes,Yes
15585388,9,2,139874,11,4,High Spending with Credit Card,High Income,High Saving Balance,Loyal Customer,660,Germany,Male,31,125190,5,GOLD,612,Yes,Yes,No,No
15724623,7,1,162503,8,1,High Spending with Credit Card,Very High Income,High Saving Balance,Potential Customer,704,Germany,Female,24,113034,2,PLATINUM,801,Yes,No,Yes,Yes
15588537,9,1,196500,8,2,Normal,Very High Income,High Saving Balance,Potential Customer,615,Spain,Female,41,109013,1,PLATINUM,561,Yes,No,No,No
15574692,2,2,40721,3,1,Normal,Middle Income,Minimal Balance,Very Low-value and Inactive,667,Spain,Female,39,0,5,PLATINUM,308,Yes,No,Yes,Yes
15611325,9,2,53134,9,2,High Spending with no Credit Card,Middle Income,Standard Balance,Potential Customer,682,Germany,Male,24,57930,5,SILVER,643,No,No,No,No
15587562,4,1,164018,5,2,Normal,Very High Income,High Saving Balance,Normal Customer,484,France,Female,29,130114,1,GOLD,249,Yes,No,No,No
15613172,5,2,155997,9,2,High Spending with Credit Card,Very High Income,Standard Balance,Potential Customer,628,Germany,Male,27,95826,2,SILVER,818,Yes,No,No,Yes
15651022,10,1,5473,8,1,High Spending with Credit Card,Low Income,High Saving Balance,Potential Customer,480,Germany,Male,44,129609,1,GOLD,775,Yes,No,Yes,Yes
15586310,4,1,112187,8,2,High Spending with Credit Card,High Income,High Saving Balance,Potential Customer,578,France,Male,30,169462,5,DIAMOND,872,Yes,No,No,Yes
15625524,5,2,146458,9,4,Normal,High Income,Minimal Balance,Potential Customer,512,France,Male,40,0,3,DIAMOND,435,Yes,Yes,No,No
15755209,7,1,27286,9,4,Normal,Low Income,High Saving Balance,Potential Customer,484,Spain,Female,35,133868,2,SILVER,415,Yes,Yes,No,No
15645248,0,2,130553,7,4,Normal,High Income,Minimal Balance,Potential Customer,510,France,Female,30,0,2,DIAMOND,430,Yes,Yes,No,No
